filename,activity,
1_20260920210851,Do Nothing,Do Nothing
2_20260920210903,Do Nothing,
3_20260920210915,Do Nothing,
4_20260920210927,Do Nothing,
5_20260920210939,Do Nothing,
6_20260920210950,Do Nothing,
7_20260920211002,Do Nothing,
8_20260920211014,Do Nothing,
9_20260920211026,Do Nothing,
10_20260920211038,Do Nothing,
11_20260920211050,Do Nothing,
12_20260920211102,Do Nothing,
13_20260920211114,Do Nothing,
14_20260920211126,Do Nothing,
15_20260920211138,Do Nothing,
16_20260920211149,Do Nothing,
17_20260920211201,Do Nothing,
18_20260920211213,Do Nothing,
19_20260920211225,Do Nothing,
20_20260920211237,Do Nothing,
21_20260920211249,Do Nothing,
22_20260920211301,Do Nothing,
23_20260920211313,Do Nothing,
1_20260920211334,Waving,Waving
2_20260920211346,Waving,
3_20260920211358,Waving,
4_20260920211410,Waving,
5_20260920211422,Waving,
6_20260920211434,Waving,
7_20260920211446,Waving,
8_20260920211458,Waving,
9_20260920211510,Waving,
10_20260920211522,Waving,
11_20260920211534,Waving,
12_20260920211545,Waving,
13_20260920211557,Waving,
14_20260920211609,Waving,
15_20260920211621,Waving,
1_20260920211750,Shaking,Shaking
2_20260920211803,Shaking,
3_20260920211815,Shaking,
4_20260920211826,Shaking,
5_20260920211838,Shaking,
6_20260920211850,Shaking,
7_20260920211902,Shaking,
8_20260920211914,Shaking,
9_20260920211926,Shaking,
10_20260920211938,Shaking,
11_20260920211949,Shaking,
12_20260920212001,Shaking,
